iter	Passed	Remaining
0	62	94157
1	129	96875
2	195	97744
3	259	97165
4	309	92627
5	374	93358
6	442	94389
7	510	95164
8	574	95108
9	637	94969
10	708	95907
11	772	95786
12	845	96684
13	920	97726
14	985	97552
15	1044	96909
16	1113	97103
17	1177	96946
18	1239	96616
19	1305	96603
20	1371	96575
21	1430	96109
22	1498	96226
23	1562	96115
24	1645	97101
25	1746	99011
26	1809	98731
27	1876	98651
28	1946	98711
29	2003	98154
30	2072	98203
31	2139	98135
32	2204	97985
33	2268	97825
34	2335	97758
35	2400	97611
36	2467	97553
37	2533	97488
38	2594	97204
39	2657	96989
40	2720	96820
41	2784	96673
42	2847	96483
43	2916	96496
44	2982	96446
45	3053	96515
46	3123	96564
47	3186	96386
48	3249	96219
49	3315	96140
50	3380	96052
51	3447	95986
52	3513	95919
53	3611	96716
54	3681	96723
55	3748	96662
56	3813	96539
57	3880	96486
58	3946	96398
59	4011	96270
60	4084	96357
61	4150	96260
62	4212	96093
63	4272	95865
64	4336	95747
65	4403	95673
66	4471	95647
67	4536	95529
68	4602	95443
69	4667	95356
70	4733	95271
71	4801	95236
72	4865	95108
73	4932	95044
74	4996	94931
75	5063	94879
76	5134	94893
77	5202	94843
78	5262	94656
79	5330	94613
80	5395	94514
81	5456	94358
82	5519	94235
83	5582	94105
84	5646	93992
85	5711	93915
86	5776	93810
87	5837	93659
88	5905	93622
89	5968	93504
90	6025	93297
91	6087	93158
92	6153	93094
93	6217	92992
94	6283	92932
95	6350	92874
96	6415	92793
97	6478	92681
98	6540	92558
99	6602	92436
100	6666	92341
101	6728	92216
102	6796	92175
103	6864	92136
104	6926	92026
105	6986	91874
106	7053	91831
107	7118	91753
108	7173	91540
109	7240	91497
110	7343	91893
111	7407	91798
112	7475	91758
113	7540	91681
114	7604	91584
115	7668	91493
116	7734	91430
117	7793	91277
118	7855	91165
119	7920	91090
120	7984	91001
121	8055	90987
122	8124	90955
123	8191	90895
124	8258	90843
125	8324	90775
126	8391	90717
127	8455	90631
128	8523	90592
129	8590	90533
130	8660	90501
131	8725	90427
132	8792	90366
133	8860	90327
134	8935	90348
135	9000	90274
136	9068	90222
137	9135	90166
138	9197	90056
139	9255	89907
140	9330	89932
141	9394	89843
142	9455	89731
143	9516	89616
144	9582	89545
145	9651	89509
146	9719	89455
147	9788	89422
148	9856	89370
149	9923	89315
150	9986	89219
151	10047	89105
152	10114	89044
153	10183	89004
154	10263	89060
155	10328	88980
156	10391	88891
157	10454	88797
158	10517	88705
159	10581	88616
160	10644	88529
161	10710	88457
162	10776	88396
163	10847	88370
164	10913	88302
165	10978	88223
166	11041	88130
167	11108	88072
168	11175	88014
169	11240	87936
170	11339	88126
171	11402	88037
172	11468	87968
173	11532	87884
174	11600	87833
175	11668	87778
176	11730	87680
177	11797	87616
178	11864	87557
179	11928	87474
180	11991	87382
181	12062	87350
182	12128	87287
183	12195	87225
184	12267	87198
185	12330	87111
186	12399	87059
187	12466	87001
188	12536	86958
189	12602	86889
190	12670	86834
191	12735	86760
192	12800	86683
193	12870	86641
194	12933	86555
195	12998	86478
196	13064	86408
197	13160	86542
198	13235	86532
199	13304	86478
200	13367	86391
201	13441	86369
202	13507	86304
203	13571	86216
204	13637	86149
205	13702	86070
206	13764	85980
207	13826	85886
208	13888	85787
209	13950	85695
210	14013	85607
211	14081	85550
212	14148	85487
213	14213	85415
214	14279	85342
215	14348	85295
216	14416	85234
217	14478	85143
218	14540	85053
219	14603	84966
220	14665	84875
221	14729	84796
222	14798	84741
223	14862	84664
224	14926	84583
225	14995	84533
226	15064	84482
227	15135	84441
228	15202	84379
229	15316	84576
230	15380	84491
231	15456	84480
232	15526	84430
233	15593	84367
234	15664	84319
235	15728	84240
236	15799	84196
237	15868	84141
238	15935	84078
239	16003	84017
240	16082	84015
241	16151	83963
242	16246	84040
243	16320	84009
244	16391	83964
