iter	Passed	Remaining
0	12	3628
1	25	3868
2	41	4091
3	53	3981
4	62	3684
5	70	3469
6	80	3361
7	88	3213
8	97	3150
9	105	3067
10	114	3018
11	124	2987
12	134	2976
13	144	2942
14	153	2923
15	161	2869
16	170	2842
17	179	2818
18	191	2825
19	201	2816
20	210	2799
21	221	2795
22	231	2785
23	242	2784
24	251	2763
25	259	2738
26	268	2716
27	278	2709
28	295	2763
29	307	2769
30	319	2771
31	329	2759
32	340	2752
33	347	2719
34	358	2712
35	372	2728
36	384	2735
37	399	2754
38	412	2763
39	423	2755
40	437	2760
41	448	2753
42	460	2752
43	473	2756
44	486	2756
45	501	2770
46	527	2837
47	549	2885
48	567	2905
49	581	2906
50	597	2916
51	606	2894
52	616	2873
53	625	2851
54	635	2830
55	644	2809
56	655	2793
57	664	2774
58	675	2758
59	684	2739
60	696	2728
61	705	2709
62	716	2696
63	727	2682
64	736	2664
65	747	2648
66	755	2626
67	764	2608
68	774	2591
69	783	2574
70	794	2561
71	802	2542
72	812	2525
73	821	2509
74	830	2490
75	839	2474
76	848	2458
77	858	2442
78	867	2427
79	878	2415
